filename,actual_class,predicted_class,confidence
Te-gl_109.jpg,glioma,meningioma,0.99929
Te-no_167.jpg,notumor,meningioma,0.999219
Te-gl_341.jpg,glioma,notumor,0.996797
Te-gl_68.jpg,glioma,meningioma,0.99648
Te-gl_78.jpg,glioma,notumor,0.996414
Te-gl_160.jpg,glioma,meningioma,0.992027
Te-aug-me_92.jpg,meningioma,glioma,0.984306
Te-gl_56.jpg,glioma,meningioma,0.983751
Te-me_136.jpg,meningioma,glioma,0.983735
Te-gl_204.jpg,glioma,notumor,0.973924
Te-gl_259.jpg,glioma,notumor,0.973924
Te-gl_377.jpg,glioma,meningioma,0.967767
Te-gl_30.jpg,glioma,meningioma,0.964714
Te-gl_212.jpg,glioma,meningioma,0.963243
Te-gl_272.jpg,glioma,meningioma,0.963243
Te-gl_338.jpg,glioma,meningioma,0.963243
Te-gl_358.jpg,glioma,notumor,0.962525
Te-gl_58.jpg,glioma,meningioma,0.961659
Te-me_115.jpg,meningioma,pituitary,0.960498
Te-aug-me_35.jpg,meningioma,pituitary,0.955718
Te-me_31.jpg,meningioma,notumor,0.954409
Te-gl_277.jpg,glioma,notumor,0.945589
Te-gl_153.jpg,glioma,meningioma,0.944747
Te-gl_103.jpg,glioma,meningioma,0.943946
Te-gl_205.jpg,glioma,meningioma,0.939822
Te-me_92.jpg,meningioma,pituitary,0.938596
Te-gl_372.jpg,glioma,notumor,0.932985
Te-gl_187.jpg,glioma,meningioma,0.926655
Te-gl_189.jpg,glioma,meningioma,0.924216
Te-gl_199.jpg,glioma,pituitary,0.923708
Te-gl_15.jpg,glioma,meningioma,0.918247
Te-aug-me_24.jpg,meningioma,pituitary,0.915589
Te-gl_32.jpg,glioma,meningioma,0.914885
Te-gl_389.jpg,glioma,meningioma,0.914885
Te-gl_211.jpg,glioma,meningioma,0.909108
Te-gl_350.jpg,glioma,notumor,0.908801
Te-gl_238.jpg,glioma,meningioma,0.904078
Te-gl_140.jpg,glioma,meningioma,0.904078
Te-me_209.jpg,meningioma,pituitary,0.900251
Te-gl_151.jpg,glioma,meningioma,0.898484
Te-gl_84.jpg,glioma,meningioma,0.893077
Te-gl_86.jpg,glioma,meningioma,0.874198
Te-gl_306.jpg,glioma,meningioma,0.871924
Te-me_34.jpg,meningioma,glioma,0.869333
Te-gl_318.jpg,glioma,notumor,0.866974
Te-gl_76.jpg,glioma,meningioma,0.865574
Te-me_144.jpg,meningioma,notumor,0.847278
Te-gl_171.jpg,glioma,meningioma,0.841995
Te-gl_228.jpg,glioma,meningioma,0.841995
Te-gl_263.jpg,glioma,meningioma,0.838323
Te-me_200.jpg,meningioma,pituitary,0.837986
Te-gl_295.jpg,glioma,meningioma,0.830489
Te-me_151.jpg,meningioma,glioma,0.823388
Te-gl_91.jpg,glioma,meningioma,0.8164
Te-gl_196.jpg,glioma,meningioma,0.805783
Te-gl_336.jpg,glioma,meningioma,0.800484
