filename,true_class,predicted_class,confidence,correct_or_incorrect
Te-gl_102.jpg,glioma,meningioma,0.510563,incorrect
Te-gl_103.jpg,glioma,meningioma,0.943946,incorrect
Te-gl_106.jpg,glioma,meningioma,0.752480,incorrect
Te-gl_109.jpg,glioma,meningioma,0.999290,incorrect
Te-gl_115.jpg,glioma,meningioma,0.792346,incorrect
Te-gl_125.jpg,glioma,pituitary,0.460840,incorrect
Te-gl_126.jpg,glioma,pituitary,0.770324,incorrect
Te-gl_129.jpg,glioma,meningioma,0.766156,incorrect
Te-gl_133.jpg,glioma,meningioma,0.581253,incorrect
Te-gl_140.jpg,glioma,meningioma,0.904078,incorrect
Te-gl_143.jpg,glioma,notumor,0.585221,incorrect
Te-gl_144.jpg,glioma,notumor,0.727077,incorrect
Te-gl_15.jpg,glioma,meningioma,0.918247,incorrect
Te-gl_151.jpg,glioma,meningioma,0.898484,incorrect
Te-gl_153.jpg,glioma,meningioma,0.944747,incorrect
Te-gl_159.jpg,glioma,meningioma,0.563735,incorrect
Te-gl_160.jpg,glioma,meningioma,0.992027,incorrect
Te-gl_166.jpg,glioma,notumor,0.454657,incorrect
Te-gl_167.jpg,glioma,meningioma,0.574696,incorrect
Te-gl_171.jpg,glioma,meningioma,0.841995,incorrect
Te-gl_181.jpg,glioma,meningioma,0.742114,incorrect
Te-gl_187.jpg,glioma,meningioma,0.926655,incorrect
Te-gl_189.jpg,glioma,meningioma,0.924216,incorrect
Te-gl_196.jpg,glioma,meningioma,0.805783,incorrect
Te-gl_199.jpg,glioma,pituitary,0.923708,incorrect
Te-gl_204.jpg,glioma,notumor,0.973924,incorrect
Te-gl_205.jpg,glioma,meningioma,0.939822,incorrect
Te-gl_211.jpg,glioma,meningioma,0.909108,incorrect
Te-gl_212.jpg,glioma,meningioma,0.963243,incorrect
Te-gl_213.jpg,glioma,meningioma,0.505487,incorrect
Te-gl_218.jpg,glioma,notumor,0.573620,incorrect
Te-gl_228.jpg,glioma,meningioma,0.841995,incorrect
Te-gl_238.jpg,glioma,meningioma,0.904078,incorrect
Te-gl_247.jpg,glioma,meningioma,0.594258,incorrect
Te-gl_25.jpg,glioma,meningioma,0.607505,incorrect
Te-gl_259.jpg,glioma,notumor,0.973924,incorrect
Te-gl_263.jpg,glioma,meningioma,0.838323,incorrect
Te-gl_264.jpg,glioma,notumor,0.680911,incorrect
Te-gl_269.jpg,glioma,meningioma,0.608163,incorrect
Te-gl_27.jpg,glioma,notumor,0.734043,incorrect
Te-gl_272.jpg,glioma,meningioma,0.963243,incorrect
Te-gl_275.jpg,glioma,meningioma,0.738942,incorrect
Te-gl_277.jpg,glioma,notumor,0.945589,incorrect
Te-gl_278.jpg,glioma,notumor,0.454657,incorrect
Te-gl_290.jpg,glioma,meningioma,0.603519,incorrect
Te-gl_295.jpg,glioma,meningioma,0.830489,incorrect
Te-gl_30.jpg,glioma,meningioma,0.964714,incorrect
Te-gl_303.jpg,glioma,meningioma,0.766156,incorrect
Te-gl_306.jpg,glioma,meningioma,0.871924,incorrect
Te-gl_310.jpg,glioma,meningioma,0.585438,incorrect
Te-gl_318.jpg,glioma,notumor,0.866974,incorrect
Te-gl_32.jpg,glioma,meningioma,0.914885,incorrect
Te-gl_323.jpg,glioma,meningioma,0.535798,incorrect
Te-gl_330.jpg,glioma,meningioma,0.576991,incorrect
Te-gl_335.jpg,glioma,notumor,0.630289,incorrect
Te-gl_336.jpg,glioma,meningioma,0.800484,incorrect
Te-gl_338.jpg,glioma,meningioma,0.963243,incorrect
Te-gl_341.jpg,glioma,notumor,0.996797,incorrect
Te-gl_349.jpg,glioma,notumor,0.351422,incorrect
Te-gl_350.jpg,glioma,notumor,0.908801,incorrect
Te-gl_351.jpg,glioma,notumor,0.474034,incorrect
Te-gl_358.jpg,glioma,notumor,0.962525,incorrect
Te-gl_363.jpg,glioma,pituitary,0.758845,incorrect
Te-gl_371.jpg,glioma,pituitary,0.445435,incorrect
Te-gl_372.jpg,glioma,notumor,0.932985,incorrect
Te-gl_376.jpg,glioma,meningioma,0.525567,incorrect
Te-gl_377.jpg,glioma,meningioma,0.967767,incorrect
Te-gl_389.jpg,glioma,meningioma,0.914885,incorrect
Te-gl_39.jpg,glioma,meningioma,0.652509,incorrect
Te-gl_391.jpg,glioma,notumor,0.484778,incorrect
Te-gl_394.jpg,glioma,pituitary,0.617694,incorrect
Te-gl_43.jpg,glioma,notumor,0.705200,incorrect
Te-gl_47.jpg,glioma,meningioma,0.742827,incorrect
Te-gl_53.jpg,glioma,meningioma,0.740830,incorrect
Te-gl_56.jpg,glioma,meningioma,0.983751,incorrect
Te-gl_58.jpg,glioma,meningioma,0.961659,incorrect
Te-gl_59.jpg,glioma,notumor,0.727077,incorrect
Te-gl_62.jpg,glioma,meningioma,0.788412,incorrect
Te-gl_68.jpg,glioma,meningioma,0.996480,incorrect
Te-gl_72.jpg,glioma,notumor,0.585221,incorrect
Te-gl_74.jpg,glioma,notumor,0.767145,incorrect
Te-gl_76.jpg,glioma,meningioma,0.865574,incorrect
Te-gl_78.jpg,glioma,notumor,0.996414,incorrect
Te-gl_84.jpg,glioma,meningioma,0.893077,incorrect
Te-gl_86.jpg,glioma,meningioma,0.874198,incorrect
Te-gl_91.jpg,glioma,meningioma,0.816400,incorrect
Te-gl_94.jpg,glioma,pituitary,0.608325,incorrect
Te-gl_97.jpg,glioma,notumor,0.572601,incorrect
Te-aug-me_19.jpg,meningioma,glioma,0.504320,incorrect
Te-aug-me_24.jpg,meningioma,pituitary,0.915589,incorrect
Te-aug-me_35.jpg,meningioma,pituitary,0.955718,incorrect
Te-aug-me_92.jpg,meningioma,glioma,0.984306,incorrect
Te-me_100.jpg,meningioma,pituitary,0.755529,incorrect
Te-me_114.jpg,meningioma,pituitary,0.530440,incorrect
Te-me_115.jpg,meningioma,pituitary,0.960498,incorrect
Te-me_136.jpg,meningioma,glioma,0.983735,incorrect
Te-me_144.jpg,meningioma,notumor,0.847278,incorrect
Te-me_151.jpg,meningioma,glioma,0.823388,incorrect
Te-me_167.jpg,meningioma,notumor,0.394389,incorrect
Te-me_169.jpg,meningioma,pituitary,0.638418,incorrect
Te-me_200.jpg,meningioma,pituitary,0.837986,incorrect
Te-me_209.jpg,meningioma,pituitary,0.900251,incorrect
Te-me_245.jpg,meningioma,glioma,0.512726,incorrect
Te-me_256.jpg,meningioma,glioma,0.593472,incorrect
Te-me_270.jpg,meningioma,notumor,0.518335,incorrect
Te-me_3.jpg,meningioma,pituitary,0.733647,incorrect
Te-me_31.jpg,meningioma,notumor,0.954409,incorrect
